ticker,quarter,pe_ratio,price_to_sales_ratio,price_to_book_ratio,price_to_fcf_ratio,debt_to_equity_ratio
CMRE,2020.4,0,2.12,0.75,5.05,NA
CMRE,2020.3,0,1.53,0.54,3.65,1.27
CMRE,2020.2,0,1.32,0.49,3.03,1.17
CMRE,2020.1,4.92,1.03,0.36,2.51,1.13
CMRE,2019.4,15.4,2.16,0.75,4.93,1.14
CMRE,2019.3,12.46,1.4,0.48,3.23,1.17
CMRE,2019.2,17.23,1.23,0.39,4.09,1.3
CMRE,2019.1,30.9,1.29,0.39,10.8,1.22
CMRE,2018.4,11.28,1.11,0.32,14.1,1.25
CMRE,2018.3,26.56,1.59,0.46,14.52,0.86
CMRE,2018.2,20.5,1.86,0.55,6.49,0.83
CMRE,2018.1,11.59,1.34,0.42,4.01,0.87
CMRE,2017.4,8.79,1.13,0.38,3.09,1.25
CMRE,2017.3,13.89,1.08,0.44,2.68,1.08
CMRE,2017.2,15.35,1.12,0.51,2.99,1.15
CMRE,2017.1,8.44,0.92,0.44,1.89,1.28
CMRE,2016.4,5.28,0.7,0.36,1.47,1.38
CMRE,2016.3,4.78,1.1,0.52,2.25,1.55
CMRE,2016.2,3.44,0.88,0.44,1.75,1.64
CMRE,2016.1,3.64,0.98,0.5,1.93,1.67
CMRE,2015.4,4.3,1.1,0.56,2.19,1.73
CMRE,2015.3,5.19,1.27,0.67,2.69,1.87
CMRE,2015.2,7.37,1.87,0.99,3.62,1.94
CMRE,2015.1,7.97,1.76,1.07,3.95,2.3
CMRE,2014.4,8.29,1.76,1.06,4.79,2.38
CMRE,2014.3,10.34,2.19,1.3,14.31,2.44
CMRE,2014.2,12.52,2.38,1.42,0,2.62
CMRE,2014.1,10.58,2.28,1.3,0,2.67
CMRE,2013.4,8.21,2.02,1.27,0,3.09
CMRE,2013.3,8.04,1.95,1.24,0,3.11
CMRE,2013.2,8.31,1.9,1.29,0,3.23
CMRE,2013.1,8.2,1.7,1.29,0,3.4
CMRE,2012.4,6.64,1.36,1.15,0,3.44
CMRE,2012.3,6.55,1.41,1.42,0,4.34
CMRE,2012.2,5.35,1.2,1.21,123.06,4.14
CMRE,2012.1,4.8,1.14,1.13,20.31,3.91
CMRE,2011.4,5.18,1.19,1.37,0,5.01
CMRE,2011.3,5.21,1,1.22,0,5.12
CMRE,2011.2,NA,NA,1.42,NA,4.17
CMRE,2011.1,NA,NA,1.41,NA,3.87
CMRE,2010.4,NA,NA,1.2,NA,4.05
CMRE,2010.3,NA,NA,NA,NA,8.53
CMRE,2010.2,NA,NA,NA,NA,0
CMRE,2010.1,NA,NA,NA,NA,0
CMRE,2009.4,NA,NA,NA,NA,0
CMRE,2009.3,NA,NA,NA,NA,0
CMRE,2008.4,NA,NA,NA,NA,0
CPLP,2020.4,5.34,1.11,Inf,0,NA
CPLP,2020.3,4.28,0.89,0,0,0.98
CPLP,2020.2,6.08,1.15,0,0,1.06
CPLP,2020.1,5.4,1.07,0,0,1.02
CPLP,2019.4,0,2.04,0,5.7,0.73
CPLP,2019.3,0,1.58,0,3.66,0.72
CPLP,2019.2,0,1.44,0,3.39,0.72
CPLP,2019.1,0,1.37,0,1.76,0.8
CPLP,2018.4,0,1.84,0.25,2.22,0.57
CPLP,2018.3,0,1.8,0,2.6,0.6
CPLP,2018.2,39.42,2.42,0,2.43,0.59
CPLP,2018.1,21.37,1.87,0,3.04,0.6
CPLP,2017.4,14.54,1.63,NA,NA,0.57
CPLP,2017.3,10.93,1.65,NA,NA,0.69
CPLP,2017.2,7.97,1.18,0,2.04,0.71
CPLP,2017.1,7.21,1.21,0,2.06,0.71
CPLP,2016.4,6.28,1.06,0.28,3.98,0.72
CPLP,2016.3,6.09,1.06,0,3.21,0.72
CPLP,2016.2,5.16,0.96,0,0,0.69
CPLP,2016.1,5.47,1.01,0,0,0.7
CPLP,2015.4,8.75,1.67,0.42,0,0.66
CPLP,2015.3,9.43,1.79,0,0,0.65
CPLP,2015.2,11.57,2.15,0,49.5,0.6
CPLP,2015.1,15.85,2.46,0,5.13,0.74
CPLP,2014.4,13.44,1.96,0.5,3.11,0.71
CPLP,2014.3,26.65,2.44,0,6.01,0.7
CPLP,2014.2,13.51,2.87,0,0,0.82
CPLP,2014.1,6.74,2.83,0,0,0.8
CPLP,2013.4,5.02,2.57,0.56,0,0.79
CPLP,2013.3,9.04,2.07,0,0,0.77
CPLP,2013.2,20.94,1.95,0,8.3,0.82
CPLP,2013.1,0,1.61,0,0,0.84
CPLP,2012.4,0,1.25,0.34,1.84,0.87
CPLP,2012.3,28.27,1.45,0,3.7,0.79
CPLP,2012.2,1.95,1.23,0,3.05,0.78
CPLP,2012.1,1.63,1.2,0,7.53,1.31
CPLP,2011.4,1.19,0.83,0.31,5.38,1.31
CPLP,2011.3,1.17,0.8,0,2.66,1.32
CPLP,2011.2,5.43,1.04,0,0,1.67
CPLP,2011.1,9.73,1.08,0,0,2.16
