mod_num,time_to_create,ntrees,max_depth,min_rows,distribution,learn_rate,learn_rate_annealing,min_split_improvement,sample_rate,nbins,col_sample_rate_per_tree,histogram_type,r_2,r_2_test,mae_test,mse_test
1,3.969999999999345,100,1,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.14203550922904118,0.11840526311711574,0.4570456581262995,0.6840350734955346
2,6.119999999999891,300,1,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.17507376701554878,0.1452404123723421,0.4513980512017706,0.6625516709123428
3,4.100000000000364,100,3,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.38952477816731723,0.3043166372999977,0.4144683905644728,0.5358415135805312
4,7.470000000000255,300,3,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.455263552744249,0.3514791556627991,0.400448015714348,0.4986116688477356
5,6.140000000000327,100,7,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.7905191852033278,0.5609366078692728,0.3268929336816979,0.3506739335704933
6,14.780000000000655,300,7,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.8723325287435018,0.6154113410844237,0.2993347323996068,0.30399010589316805
7,10.699999999999818,100,10,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.9217010818897539,0.6217771046507126,0.29212572270438625,0.3120069322925341
8,28.890000000000327,300,10,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.9725877041973487,0.6587582762878603,0.270904337346742,0.27830721577756173
9,3.2200000000002547,100,1,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.052322357523133745,0.03344589814757937,0.4729942371365469,0.7410787540066319
10,5.470000000000255,300,1,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.06928888909097375,0.05088752557753651,0.47056928712555485,0.7276060073622407
11,3.6099999999996726,100,3,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.14916722201307298,0.12055165302420756,0.4557536430179863,0.6874640312032335
12,6.369999999999891,300,3,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.19892725448374926,0.1630392260535123,0.4474355684139669,0.6543445718675376
13,5.960000000000036,100,7,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.3353080140350775,0.23379890061447584,0.43012507481894585,0.6221122013899028
14,13.44000000000051,300,7,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.43662475483319707,0.3054823009919303,0.4121167438840928,0.5640064283983672
15,10.159999999999854,100,10,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.4732015131240239,0.3185952250813714,0.4071228083316211,0.5802304179215061
16,24.110000000000582,300,10,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.600858571989199,0.40615471806896786,0.38185980558898247,0.5129072212047531
17,3.0600000000004,100,1,1,gaussian,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.0070114162850665185,4.099001488118148e-4,0.4773637505759833,0.7688762217605419
18,5.289999999999964,300,1,1,gaussian,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.010422090025485442,0.0028916770467971586,0.47703597031882855,0.7670932325800566
19,4.630000000000109,100,3,1,gaussian,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.019140341677382544,0.010797991050133682,0.4754688622235833,0.7633837292317368
20,7.4399999999996,300,3,1,gaussian,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.02811420334392367,0.018108654218852216,0.4743067919906505,0.75889835142989015
21,6.0900000000001455,100,7,1,gaussian,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.046024868455543655,0.02938445188669514,0.4720193837789956,0.7544969600842083
22,13.579999999999927,300,7,1,gaussian,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.06753082385594011,0.04508039927389551,0.469206793614578,0.7458116045286031
23,9.430000000000291,100,10,1,gaussian,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.06655399689202623,0.04060055320636058,0.4694298857604076,0.7500972350555001
24,22.68000000000029,300,10,1,gaussian,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.09760531778287573,0.06202727446719292,0.46527223459499223,0.7391839916007762
25,3.300000000000182,100,1,1,gaussian,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,0.04623900487839461,0.02966569580021816,0.4734980098395801,0.744485003878584
