date,open,high,low,close,volume
2015-07-31,6.5,6.55,5.25,5.35,537500
2015-08-03,5.93,5.97,4.85,5.025,290700
2015-08-04,4.9,5.05,4.66,4.99,278600
2015-08-05,4.99,5.1,4.78,5,103900
2015-08-06,5.04,5.24,5.04,5.15,35500
2015-08-07,5.15,5.6,5.15,5.42,58400
2015-08-10,5.45,5.55,5.3,5.31,42700
2015-08-11,5.4,5.475,5.3,5.36,34000
2015-08-12,5.38,5.559,5.36,5.49,30600
2015-08-13,5.55,5.61,5.33,5.36,25100
2015-08-14,5.61,5.75,5.3,5.44,43800
2015-08-17,5.5,5.56,5.3,5.5,27800
2015-08-18,5.5,5.5,5.21,5.5,16700
2015-08-19,5.26,5.4,5.11,5.19,22100
2015-08-20,5.09,5.39,4.76,4.88,29400
2015-08-21,4.85,5.14,4.85,5,26000
2015-08-24,5.05,5.05,4.62,4.78,26000
2015-08-25,4.8,5,4.5,5,49200
2015-08-26,5,5,4.8,5,19500
2015-08-27,4.9,4.99,4.752,4.92,23100
2015-08-28,4.99,5.2,4.86,5.2,59800
2015-08-31,5.14,5.14,4.847,4.99,38400
2015-09-01,4.84,4.99,4.65,4.85,18400
2015-09-02,4.93,4.93,4.783,4.84,2800
2015-09-03,4.88,5.09,4.88,4.98,18500
2015-09-04,5,5,4.88,4.96,10700
2015-09-08,5.1,5.1,4.95,5.07,26900
2015-09-09,5.03,5.1,5.01,5.09,12600
2015-09-10,5.03,5.1,5,5.05,17400
2015-09-11,4.91,5.45,4.91,5.45,79800
2015-09-14,5.43,5.55,5.11,5.26,68900
2015-09-15,5.41,5.49,5.12,5.23,33300
2015-09-16,5.29,5.42,5.21,5.38,11700
2015-09-17,5.33,5.455,5.3,5.375,20300
2015-09-18,5.31,5.45,4.94,4.94,285700
2015-09-21,5.05,5.17,5,5.01,19900
2015-09-22,5.01,5.3,4.81,4.9,128900
2015-09-23,4.821,5.04,4.7,4.98,6600
2015-09-24,4.78,5.08,4.71,4.92,4900
2015-09-25,4.9,5.1,4.825,4.9,7600
2015-09-28,4.8,5,4.8,4.89,11600
2015-09-29,4.81,4.97,4.8,4.92,9800
2015-09-30,5,5.2,4.99,5.07,37100
2015-10-01,5.14,5.15,5,5.08,46700
2015-10-02,5.03,5.15,5.01,5.11,39500
2015-10-05,5.18,5.18,5.1,5.13,16100
2015-10-06,5.13,5.14,5,5.14,14600
2015-10-07,5.05,5.05,5,5,600
2015-10-08,5,5.15,5,5.06,4700
2015-10-09,5,5.14,5,5.08,1600
2015-10-12,5,5.14,5,5.14,5000
2015-10-13,5.01,5.01,5,5,10200
2015-10-14,5.039,5.2,5.024,5.19,10800
2015-10-15,5,5.2,5,5.09,15200
2015-10-16,5.2,5.2,5.1,5.175,3400
2015-10-19,5.2,5.2,5.11,5.11,2000
2015-10-20,5.17,5.2,5.05,5.19,6200
2015-10-21,5.19,5.19,4.9,4.9,28500
2015-10-22,5.17,5.17,4.89,4.89,19300
2015-10-23,4.916,5,4.86,4.93,5300
2015-10-26,5.033,5.11,4.97,5.05,4500
2015-10-27,4.99,4.99,4.801,4.86,9400
2015-10-28,5.08,5.08,4.82,4.847,4800
2015-10-29,4.9,5,4.9,4.98,9200
2015-10-30,4.97,5,4.96,5,5600
2015-11-02,4.94,4.95,4.76,4.89,6900
2015-11-03,4.98,5.05,4.944,5.01,17900
